| [task no] | [person 1] | [person 2] | [assoc_code] | [assoc_chn] | [positive/negative relationship] | [reasoning] |
| -- | -- | -- | -- | -- | -- | -- |
| 1193 | 吴文英 | 吴潜 | 0203; 0207 | 学术交往; 文学藝術交往 | positive | 吴文英从吴潜等游，工于词 |
| 1193 | 吴文英 | 张炎 | 0208 | 学术攻訐 | negative | 张炎讥其如七宝楼台，炫人眼目，拆碎下来，不成片段 |
| 1194 | 吴元美 | 常同 | 0406 | 薦舉保任 | positive | 常同知湖州荐于朝，除太常寺簿 |
| 1194 | 吴元美 | 汪勃 | 0407 | 政治對抗 | negative | 以汪勃奏出入李光之门，出为本州机宜 |
| 1194 | 吴元美 | 郑炜 | 0407 | 政治對抗 | negative | 郑炜与有隙，以上之丞相秦桧，诬其指斥国家，讥毁大臣，谪容州卒 |
| 1194 | 吴元美 | 秦桧 | 0407 | 政治對抗 | negative | 郑炜上之丞相秦桧，诬其指斥国家，讥毁大臣，谪容州卒 |
| 1194 | 吴元美 | 杨椿年 | 0406 | 薦舉保任 | positive | 其后杨椿年、洪迈等为言于朝，特官其子 |
| 1194 | 吴元美 | 洪迈 | 0406 | 薦舉保任 | positive | 其后杨椿年、洪迈等为言于朝，特官其子 |
| 1195 | 吴元载 | 李益 | 0603 | 軍事對抗 | negative | 元载逮捕斩李益，民皆饭僧相庆 |
| 1196 | 吴中复 | 孙抃 | 0406 | 薦舉保任 | positive | 孙抃荐为御史 |
| 1196 | 吴中复 | 仁宗 | 0401 | 政治關係（籠統） | positive | 仁宗飞白书铁御史三字赐之 |
| 1196 | 吴中复 | 梁适 | 0407 | 政治對抗 | negative | 先后弹罢宰相梁适、刘沆 |
| 1196 | 吴中复 | 刘沆 | 0407 | 政治對抗 | negative | 先后弹罢宰相梁适、刘沆 |
