| [task no] | [person 1] | [person 2] | [assoc_code] | [assoc_chn] | [positive/negative relationship] | [reasoning] |
| -- | -- | -- | -- | -- | -- | -- |
| 1177 | 吴仪 | 杨时 | 0206 | 学术襄助 | positive | 杨时大为吴仪所重 |
| 1177 | 吴仪 | 罗从彦 | 0202 | 师生关系 | positive | 罗从彦尝师事吴仪 |
| 1177 | 吴仪 | 审律先生 | 0101 | 社会关系（籠統） | positive | 吴仪被称为审律先生 |
| 1178 | 吴儆 | 朱熹 | 0103 | 社会交往 | positive | 朱熹与吴儆友善 |
| 1178 | 吴儆 | 张栻 | 0103 | 社会交往 | positive | 张栻与吴儆友善 |
| 1178 | 吴儆 | 吕祖谦 | 0103 | 社会交往 | positive | 吕祖谦与吴儆友善 |
| 1179 | 吴范 | 苏辙 | 0202 | 师生关系 | positive | 吴范登苏辙门 |
| 1179 | 吴范 | 范登 | 0101 | 社会关系（籠統） | positive | 吴范复因辙而见轼 |
| 1179 | 吴范 | 陈师道 | 0103 | 社会交往 | positive | 吴范交陈师道 |
| 1179 | 吴范 | 杨杰 | 0103 | 社会交往 | positive | 吴范见知于杨杰 |
| 1180 | 吴璘 | 唐卿 | 0101 | 社会关系（籠統） | positive | 吴璘字唐卿 |
| 1180 | 吴璘 | 孝宗 | 0404 | 官场关系（上司） | positive | 吴璘在孝宗时拜太傅 |
