| task no | person 1 | person 2 | assoc_code | assoc_chn | positive/negative relationship | reasoning |
| -- | -- | -- | -- | -- | -- | -- |
| 587 | 安丙 | 吴曦 | 0407 | 政治對抗 | negative | 安丙以诛吴曦功 |
| 587 | 安丙 | 张福 | 0603 | 軍事對抗 | negative | 安丙擒福斩之 |
| 588 | 安扶 | 梅执礼 | 0402 | 官場關係（平級） | positive | 安扶与梅执礼联合抗词以对 |
| 588 | 安扶 | 陈知质 | 0402 | 官場關係（平級） | positive | 安扶与陈知质联合抗词以对 |
| 588 | 安扶 | 程振 | 0402 | 官場關係（平級） | positive | 安扶与程振联合抗词以对 |
| 589 | 安惇 | 章惇 | 0407 | 政治對抗 | negative | 章惇、蔡卞造同文谤狱，使蔡京与惇杂治 |
| 589 | 安惇 | 蔡卞 | 0407 | 政治對抗 | negative | 章惇、蔡卞造同文谤狱，使蔡京与惇杂治 |
| 589 | 安惇 | 蔡京 | 0402 | 官場關係（平級） | negative | 蔡京与惇杂治，诬司马光、刘挚等大逆不道 |
| 589 | 安惇 | 司马光 | 0407 | 政治對抗 | negative | 安惇诬司马光、刘挚等大逆不道 |
| 589 | 安惇 | 刘挚 | 0407 | 政治對抗 | negative | 安惇诬司马光、刘挚等大逆不道 |
| 589 | 安惇 | 邹浩 | 0407 | 政治對抗 | negative | 安惇鞫邹浩事，被祸者七八百人 |
| 589 | 安惇 | 徽宗 | 0404 | 官場關係（上司） | neutral | 徽宗时放归田里 |
| 591 | 安刘 | 贾似道 | 0103 | 社會交際 | neutral | 尝为贾似道客，而以科名自持，卒不得用 |
